date,persons_first_vaccinated,model,covid_region,scenario,pop,persons_first_vaccinated_raw,persons_first_vaccinated_perc,remaining_susceptible,daily_first_vacc,daily_first_vacc_perc
2021-01-10,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-11,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-12,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-13,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-14,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-15,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-16,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-17,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-18,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-19,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-20,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-21,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-22,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-23,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-24,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-25,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-26,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-27,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-28,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-29,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-30,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-01-31,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-02-01,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-02-02,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-02-03,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-02-04,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-02-05,0,predicted,1,continued_trend,660965,0,0,660965,0,0
2021-02-06,104.537552513182,predicted,1,continued_trend,660965,104.537552513182,0.000158158983475951,660860.462447487,104.537552513182,0.000158184001696862
2021-02-07,2332.75143073499,predicted,1,continued_trend,660965,2332.75143073499,0.00352931158341969,658632.248569265,2228.21387822181,0.00338309258780164
2021-02-08,4560.9653089568,predicted,1,continued_trend,660965,4560.9653089568,0.00690046418336342,656404.034691043,2228.21387822181,0.00339457675526109
2021-02-09,6789.17918717116,predicted,1,continued_trend,660965,6789.17918717116,0.0102716167832959,654175.820812829,2228.21387821436,0.00340613915605403
2021-02-10,9017.39306539297,predicted,1,continued_trend,660965,9017.39306539297,0.0136427693832396,651947.606934607,2228.21387822181,0.00341778059236792
2021-02-11,11245.6069436073,predicted,1,continued_trend,660965,11245.6069436073,0.0170139219831721,649719.393056393,2228.21387821436,0.00342950187731423
2021-02-12,13473.8208218291,predicted,1,continued_trend,660965,13473.8208218291,0.0203850745831158,647491.179178171,2228.21387822181,0.00344130383528927
2021-02-13,15702.034700051,predicted,1,continued_trend,660965,15702.034700051,0.0237562271830595,645262.965299949,2228.21387822181,0.0034531873019956
2021-02-14,17930.2485782653,predicted,1,continued_trend,660965,17930.2485782653,0.027127379782992,643034.751421735,2228.21387821436,0.00346515312475388
2021-02-15,20158.4624564871,predicted,1,continued_trend,660965,20158.4624564871,0.0304985323829357,640806.537543513,2228.21387822181,0.00347720216270501
2021-02-16,22386.6763347015,predicted,1,continued_trend,660965,22386.6763347015,0.0338696849828682,638578.323665299,2228.21387821436,0.00348933528689935
2021-02-17,24614.8902129233,predicted,1,continued_trend,660965,24614.8902129233,0.0372408375828119,636350.109787077,2228.21387822181,0.00350155338068123
2021-02-18,26843.1040911451,predicted,1,continued_trend,660965,26843.1040911451,0.0406119901827557,634121.895908855,2228.21387822181,0.00351385733972839
2021-02-19,29071.3179693595,predicted,1,continued_trend,660965,29071.3179693595,0.0439831427826881,631893.682030641,2228.21387821436,0.00352624807238746
2021-02-20,31299.5318475813,predicted,1,continued_trend,660965,31299.5318475813,0.0473542953826319,629665.468152419,2228.21387822181,0.00353872649989826
2021-02-21,33527.7457257956,predicted,1,continued_trend,660965,33527.7457257956,0.0507254479825643,627437.254274204,2228.21387821436,0.00355129355650371
2021-02-22,35755.9596040174,predicted,1,continued_trend,660965,35755.9596040174,0.0540966005825081,625209.040395983,2228.21387822181,0.00356395018986058
2021-02-23,37984.1734822393,predicted,1,continued_trend,660965,37984.1734822393,0.0574677531824518,622980.826517761,2228.21387822181,0.00357669736109974
2021-02-24,40212.3873604536,predicted,1,continued_trend,660965,40212.3873604536,0.0608389057823842,620752.612639546,2228.21387821436,0.00358953604518813
2021-02-25,42440.6012386754,predicted,1,continued_trend,660965,42440.6012386754,0.064210058382328,618524.398761325,2228.21387822181,0.0036024672311781
2021-02-26,44668.8151168898,predicted,1,continued_trend,660965,44668.8151168898,0.0675812109822604,616296.18488311,2228.21387821436,0.00361549192234084
2021-02-27,46897.0289951116,predicted,1,continued_trend,660965,46897.0289951116,0.0709523635822042,614067.971004889,2228.21387822181,0.00362861113660669
2021-02-28,49125.2428733259,predicted,1,continued_trend,660965,49125.2428733259,0.0743235161821367,611839.757126674,2228.21387821436,0.00364182590663691
2021-03-01,51353.4567515478,predicted,1,continued_trend,660965,51353.4567515478,0.0776946687820804,609611.543248452,2228.21387822181,0.00365513728028881
2021-03-02,53581.6706297696,predicted,1,continued_trend,660965,53581.6706297696,0.0810658213820241,607383.329370231,2228.21387822181,0.0036685463207101
2021-03-03,55809.8845079839,predicted,1,continued_trend,660965,55809.8845079839,0.0844369739819566,605155.115492016,2228.21387821436,0.00368205410674374
2021-03-04,58038.0983862057,predicted,1,continued_trend,660965,58038.0983862057,0.0878081265819003,602926.901613794,2228.21387822181,0.00369566173321803
2021-03-05,60266.3122644201,predicted,1,continued_trend,660965,60266.3122644201,0.0911792791818328,600698.68773558,2228.21387821436,0.00370937031111876
2021-03-06,62494.5261426419,predicted,1,continued_trend,660965,62494.5261426419,0.0945504317817765,598470.473857358,2228.21387822181,0.00372318096807712
2021-03-07,64722.7400208637,predicted,1,continued_trend,660965,64722.7400208637,0.0979215843817202,596242.259979136,2228.21387822181,0.00373709484849293
2021-03-08,66950.9538990781,predicted,1,continued_trend,660965,66950.9538990781,0.101292736981653,594014.046100922,2228.21387821436,0.00375111311397473
2021-03-09,69179.1677772999,predicted,1,continued_trend,660965,69179.1677772999,0.104663889581596,591785.8322227,2228.21387822181,0.00376523694366392
2021-03-10,71407.3816555142,predicted,1,continued_trend,660965,71407.3816555142,0.108035042181529,589557.618344486,2228.21387821436,0.00377946753443933
2021-03-11,73635.5955337361,predicted,1,continued_trend,660965,73635.5955337361,0.111406194781473,587329.404466264,2228.21387822181,0.00379380610144439
2021-03-12,75863.8094119579,predicted,1,continued_trend,660965,75863.8094119579,0.114777347381416,585101.190588042,2228.21387822181,0.00380825387824352
